2018-04-22 03:19:50pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-22 03:20:04pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/add 
2018-04-22 03:20:16pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/add 
2018-04-22 03:20:42pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/add 
2018-04-22 03:20:42pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-22 03:39:43pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/delete/284 
2018-04-22 03:39:43pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-22 03:40:03pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/update 
2018-04-22 03:40:04pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-22 03:40:28pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/delete/4 
2018-04-22 03:40:28pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-22 03:40:36pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/delete/5 
2018-04-22 03:40:36pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-22 03:40:48pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/delete/6 
2018-04-22 03:40:49pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-22 03:41:22pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/update 
2018-04-22 03:41:22pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-22 03:41:38pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/update 
2018-04-22 03:41:38pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-22 03:41:58pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/update 
2018-04-22 03:41:58pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-22 03:42:49pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/add 
2018-04-22 03:42:49pm 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
