2018-04-02 09:44:17am ::1  localhost/smis/pages/reports/academic_report/st_attendance_report 
2018-04-02 12:35:33pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-04-02 12:35:42pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/marks_entry 
2018-04-02 12:36:39pm ::1  localhost/smis/pages/reports/class_reports/list_classes 
2018-04-02 12:36:51pm ::1  localhost/smis/pages/profile/student/find 
2018-04-02 12:39:55pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/class_reports/list_classes 
2018-04-02 12:39:58pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/lession_plan/course_pointer/1303 
2018-04-02 12:41:11pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/subject_manager 
2018-04-02 12:41:29pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-04-02 12:41:35pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-04-02 12:41:36pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/details/1218 
2018-04-02 12:42:56pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/prev_school_st_list 
2018-04-02 12:43:00pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/prev_school_st_list 
2018-04-02 12:43:06pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/prev_school_st_list 
2018-04-02 12:43:34pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/current_student_overall 
2018-04-02 12:44:10pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/birthday_students 
2018-04-02 12:44:32pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/details/1351 
2018-04-02 12:46:08pm ::1 satishm localhost/smis/pages/home 
2018-04-02 12:47:06pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-04-02 12:47:15pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:48:26pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/edit 
2018-04-02 12:48:37pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/update 
2018-04-02 12:48:37pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:48:54pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/delete/1301 
2018-04-02 12:48:55pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
