2018-04-26 10:59:09am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:59:22am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:59:22am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:59:35am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:59:35am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 11:00:01am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 11:00:01am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 11:00:13am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 11:00:13am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 11:00:25am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 11:00:25am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 11:00:29am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/course_manager 
2018-04-26 11:00:41am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/course_manager/edit 
2018-04-26 11:00:49am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/course_manager/edit 
2018-04-26 11:01:08am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/course_manager/edit 
2018-04-26 11:01:18am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/course_manager/edit 
2018-04-26 11:01:21am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/course_manager/edit 
