2018-04-05 11:11:49am 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/academic_report/print_all_marksheet?data=YTo0OntzOjg6ImJhdGNoX2lkIjtzOjQ6IjIwNzMiO3M6ODoiZ3JhZGVfaWQiO3M6MzoiT25lIjtzOjEwOiJzZWN0aW9uX2lkIjtzOjM6ImFsbCI7czo3OiJleGFtX2lkIjtzOjE6IjEiO30= 
2018-04-05 11:38:06am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/student/details/1214 
2018-04-05 11:38:06am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/student/details/1214 
2018-04-05 11:39:10am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/student/details/1214 
2018-04-05 11:39:10am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/student/details/1214 
2018-04-05 11:39:31am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-04-05 11:39:38am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-04-05 11:39:38am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-04-05 11:39:40am ::1 satishm localhost/smis/pages/reports/academic_report/print_all_marksheet?data=YTo0OntzOjg6ImJhdGNoX2lkIjtzOjQ6IjIwNzMiO3M6ODoiZ3JhZGVfaWQiO3M6MzoiT25lIjtzOjEwOiJzZWN0aW9uX2lkIjtzOjM6ImFsbCI7czo3OiJleGFtX2lkIjtzOjE6IjEiO30= 
2018-04-05 11:39:40am ::1 satishm localhost/smis/pages/reports/academic_report/print_all_marksheet?data=YTo0OntzOjg6ImJhdGNoX2lkIjtzOjQ6IjIwNzMiO3M6ODoiZ3JhZGVfaWQiO3M6MzoiT25lIjtzOjEwOiJzZWN0aW9uX2lkIjtzOjM6ImFsbCI7czo3OiJleGFtX2lkIjtzOjE6IjEiO30= 
2018-04-05 11:45:02am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/st_terminal_comment/13 
2018-04-05 11:45:08am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1379 
2018-04-05 11:50:12am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1379 
2018-04-05 11:50:52am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1379 
2018-04-05 11:51:15am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/add_comment 
2018-04-05 11:51:15am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1379 
2018-04-05 11:52:04am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/student/details/1214 
2018-04-05 11:52:04am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/student/details/1214 
