2018-03-07 12:29:18pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:29:36pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:29:47pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:31:22pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:31:42pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:32:01pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:32:12pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:34:31pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:37:25pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:39:22pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:39:48pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:42:07pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:43:52pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:45:35pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 12:45:35pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 12:45:37pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:45:49pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 12:45:49pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 12:46:58pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:47:17pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-03-07 12:47:32pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-03-07 12:47:40pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/exam_setting/edit 
2018-03-07 12:47:49pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/exam_setting/update 
2018-03-07 12:47:49pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-03-07 12:49:56pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 12:50:16pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 12:50:36pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 12:56:12pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 12:56:33pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 12:58:27pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/bulk_edit 
2018-03-07 12:58:32pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/bulk_edit 
2018-03-07 12:59:08pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-07 12:59:14pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-07 12:59:57pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/edit/1214 
2018-03-07 12:59:57pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/edit/1214 
2018-03-07 01:00:02pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-07 01:00:05pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-07 01:00:11pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-07 01:00:21pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/subject_manager 
2018-03-07 01:00:25pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-07 01:00:29pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-07 01:00:34pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-07 01:01:27pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 01:01:37pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-07 01:02:29pm ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-07 01:02:33pm ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2018-03-07 01:03:55pm ::1 satishm localhost/smis/pages/exam/exam_setting/update 
2018-03-07 01:03:56pm ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-07 01:04:05pm ::1 satishm localhost/smis/pages/exam/assessment_setting 
2018-03-07 01:04:38pm ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2018-03-07 01:05:09pm ::1 satishm localhost/smis/pages/exam/exam_setting/update 
2018-03-07 01:05:09pm ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-07 01:05:13pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 01:06:06pm ::1 satishm localhost/smis/pages/exam/marks_entry/update/1303 
2018-03-07 01:06:07pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 01:12:42pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 01:14:22pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 01:15:46pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 01:15:51pm ::1 satishm localhost/smis/pages/exam/marks_entry/final_update/1303 
2018-03-07 01:15:52pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 01:16:02pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 01:16:02pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 01:16:16pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:18:54pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:19:17pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:20:16pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:21:35pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:22:26pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:27:41pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 01:27:44pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 01:27:45pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 01:27:47pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 01:27:48pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 01:27:55pm ::1 satishm localhost/smis/pages/exam/marks_entry 
2018-03-07 01:28:02pm ::1 satishm localhost/smis/pages/exam/marks_entry 
2018-03-07 01:28:03pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1304 
2018-03-07 01:29:03pm ::1 satishm localhost/smis/pages/exam/assessment_setting/add_assessment 
2018-03-07 01:29:03pm ::1 satishm localhost/smis/pages/exam/assessment_setting 
2018-03-07 01:29:29pm ::1 satishm localhost/smis/pages/exam/assessment_setting/add_assessment 
